,Network,QuantBits,Accuracy,Sparsity,Size,Valid
0,fcn_resnet50,32,0.6972165703773499,0.0,131611392.0,1
1,fcn_resnet50,4,0.03482326865196228,0.8774834628297222,2015571.5,0
2,fcn_resnet50,5,0.07588474452495575,0.5834579729997841,8565886.875,0
3,fcn_resnet50,6,0.5822736024856567,0.3210205694048126,16755267.75,0
4,fcn_resnet50,7,0.6763696074485779,0.16509832218779363,24036812.625,0
5,fcn_resnet50,8,0.6934207081794739,0.08405904558778621,30137066.0,0
6,fcn_resnet50,16,0.6972165703773499,0.0,131611392.0,0
7,deeplabv3,32,0.7308890223503113,0.0,43969568.0,1
8,deeplabv3,4,0.03499693423509598,0.3775012754275866,3421375.0,0
9,deeplabv3,5,0.030153322964906693,0.20503817549446923,5461582.5,0
10,deeplabv3,6,0.041506797075271606,0.10978711457888324,7339176.75,0
11,deeplabv3,7,0.2185884267091751,0.05974377551310028,9043706.875,0
12,deeplabv3,8,0.5067015886306763,0.034426355974204736,10613964.0,0
13,deeplabv3,16,0.7308890223503113,0.0,43969568.0,0
14,fcn_resnet101,32,0.0005157872219569981,5.534297298215307e-08,216829684.0,1
15,fcn_resnet101,4,0.0022467661183327436,0.2781586706647414,19564579.5,0
16,fcn_resnet101,5,0.0010666927555575967,0.1318906797710956,29411231.25,0
17,fcn_resnet101,6,0.0005427275318652391,0.064015382837598,38052986.25,0
18,fcn_resnet101,7,0.0005198383005335927,0.03152782172419777,45936084.25,0
19,fcn_resnet101,8,0.0005221804021857679,0.01565150928404202,53358996.0,0
20,fcn_resnet101,16,0.0005157872219569981,5.534297298215307e-08,216829684.0,0
